Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
Standard Chartered Bank Limited,522,585.00,570.00,581.00,63097.00,36358804.80,579.00,2.00
Summit Laghubitta Bittiya Sanstha Limited,60,1642.20,1607.00,1635.00,5756.00,9305778.00,1655.00,-20.00
Sunrise Bank Limited,789,391.90,370.10,382.00,206338.00,78372996.30,375.10,6.90
Sunrise Bluechip Fund,48,10.22,10.02,10.10,52953.00,535547.20,10.22,-0.12
Sunrise First Mutual Fund,120,18.64,17.86,17.95,741896.00,13327891.91,18.28,-0.33
Support Microfinance Bittiya Sanstha Ltd.,33,2778.00,2671.00,2700.00,868.00,2357725.30,2725.00,-25.00
Surya Life Insurance Company Limited,413,960.00,925.00,957.00,112527.00,106547923.40,939.00,18.00
Suryodaya Laghubitta Bittiya Sanstha Ltd.,23,1840.00,1811.00,1840.00,1441.00,2622538.30,1860.00,-20.00
Swabalamban Laghubitta Bittiya Sanstha Limited,154,1929.00,1900.40,1914.00,16286.00,31148998.60,1910.00,4.00
Swabhimaan Laghubitta Bittiya Sanstha Limited,40,2635.00,2600.00,2634.00,1375.00,3610204.00,2605.00,29.00
Swarojgar Laghu Bitta Bikas Bank Ltd.,121,1551.00,1505.00,1545.00,10408.00,15980604.90,1551.00,-6.00
Synergy Power Development Ltd.,948,753.00,711.00,717.90,122625.00,88802174.80,725.00,-7.10
Taragaon Regency Hotel Limited,151,428.00,411.60,423.00,19162.00,8038196.10,416.00,7.00
Unilever Nepal Limited,10,20250.00,20000.00,20000.00,110.00,2215355.00,20090.00,-90.00
Union Hydropower Limited,806,612.00,558.00,560.00,117886.00,68546923.50,560.00,0.00
Union Life Insurance Company Limited,5030,814.00,777.00,795.00,65983.00,52431368.50,799.00,-4.00
United IDI Mardi RB Hydropower Limited.,467,811.00,752.00,780.00,38831.00,30712128.10,738.00,42.00
United Insurance Co. (Nepal) Ltd.,367,790.00,755.00,775.00,58570.00,45340885.20,762.00,13.00
United Modi Hydropower Ltd.,2966,622.00,577.00,593.00,560390.00,339963998.00,575.00,18.00
UNIVERSAL POWER COMPANY LTD,2810,635.00,590.00,610.00,547087.00,339129939.50,586.00,24.00
Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,25,2268.00,2215.10,2239.50,1035.00,2318072.40,2225.00,14.50
Upper Tamakoshi Hydropower Ltd,2119,844.00,789.00,804.00,341565.00,278465699.60,802.00,2.00
Vijaya laghubitta Bittiya Sanstha Ltd.,71,1880.00,1820.00,1863.00,4221.00,7758143.00,1861.00,2.00
Vijaya laghubitta Bittiya Sanstha Ltd. Promoter Share,1,976.00,976.00,976.00,9521.00,9292496.00,976.00,0.00
Womi Microfinance Bittiya Sanstha Ltd.,155,1750.00,1695.00,1717.00,8426.00,14461865.80,1725.00,-8.00
