Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
Mirmire Microfinance Development Bank Ltd.,261,2045.00,1960.00,1960.00,15311.00,30416078.70,1965.00,-5.00
Miteri Development Bank Limited,447,663.50,614.00,638.00,63817.00,40783966.50,618.00,20.00
Mithila LaghuBitta Bittiya Sanstha Limited,32,2330.00,2278.50,2278.50,1638.00,3775427.50,2330.00,-51.50
Mountain Energy Nepal Limited,260,985.00,963.00,970.20,11406.00,11084342.00,989.90,-19.70
Mountain Hydro Nepal Limited,519,591.00,541.00,554.00,138232.00,77169917.90,590.40,-36.40
Muktinath Bikas Bank Ltd.,516,699.00,685.00,685.00,60233.00,41665121.10,691.70,-6.70
Multipurpose Finance Company  Limited,498,548.70,514.00,523.00,70020.00,37067725.20,534.80,-11.80
NABIL BALANCED FUND-2,58,16.69,16.33,16.68,171200.00,2820629.00,16.60,0.08
Nabil Bank Limited,852,1490.00,1475.10,1477.00,80443.00,119118020.10,1482.00,-5.00
Nabil Equity Fund,93,16.80,16.46,16.49,381756.00,6303272.65,16.71,-0.22
Narayani Development Bank Limited,299,883.00,805.00,825.00,29022.00,24118099.10,803.00,22.00
National Hydro Power Company Limited,2099,384.00,364.00,368.90,518167.00,191680837.40,377.00,-8.00
National Life Insurance Co. Ltd.,493,1308.00,1275.00,1278.00,63679.00,81955355.80,1286.00,-3.00
National Microfinance Bittiya Sanstha Ltd.,52,3754.00,3641.00,3690.00,2444.00,9004154.00,3681.00,9.00
Neco Insurance Co. Ltd.,468,1515.00,1476.00,1480.00,36198.00,53840127.00,1489.00,-9.00
Nepal Bangladesh Bank Limited,469,470.00,461.00,463.60,92509.00,43117634.90,468.00,-4.40
Nepal Bank Limited,1223,487.00,481.10,484.00,221903.00,107315213.80,485.60,-1.60
Nepal Credit And Commercial Bank Limited,823,390.00,379.00,387.50,280548.00,106988680.60,383.00,4.60
Nepal Doorsanchar Comapany Limited,207,1312.00,1301.20,1303.00,20940.00,27265164.10,1301.00,2.00
Nepal Finance Ltd.,266,641.00,619.80,631.00,51926.00,32632276.00,620.00,11.00
Nepal Hydro Developers Ltd.,346,637.50,567.00,625.00,40490.00,24612840.80,596.00,29.00
Nepal Infrastructure Bank Limited,2523,493.00,486.60,487.00,206567.00,100796946.90,490.00,-3.00
Nepal Insurance Co. Ltd.,392,1132.00,1078.00,1082.00,47972.00,52156310.50,1089.00,-7.00
Nepal Life Insurance Co. Ltd.,1240,2085.00,2031.80,2045.00,77532.00,159611182.20,2040.00,5.00
Nepal Reinsurance Company Limited,1159,1759.00,1710.00,1712.00,85095.00,146564341.30,1736.00,-24.00
Nepal SBI Bank Limited,224,436.50,428.10,430.00,48276.00,20792496.90,436.50,-6.50
Nerude Laghubita Bikas Bank Limited,42,1695.00,1682.00,1690.00,4280.00,7223687.00,1689.00,1.00
Ngadi Group Power Ltd.,726,910.00,867.00,883.00,199697.00,175108005.50,901.00,-18.00
NIBL Pragati Fund,174,18.92,18.50,18.80,1664546.00,31004875.66,18.55,0.25
NIBL Samriddhi Fund -2,101,11.12,10.80,11.09,188908.00,2088458.68,11.13,-0.04
NIBL Samriddhi Fund 1,7,16.10,15.94,16.10,13000.00,209070.00,16.26,-0.16
NIC Asia Balanced Fund,37,16.15,15.95,16.15,528940.00,8493508.60,16.18,-0.03
NIC Asia Bank Ltd.,1032,1054.00,1022.00,1036.00,124985.00,129674876.80,1042.00,-6.00
NIC Asia Growth Fund,35,17.45,17.16,17.18,121965.00,2106679.70,17.40,-0.22
